id,created_at,updated_at,name,status,gsf_standards_version,estimated_annual_credits,crediting_period_start_date,crediting_period_end_date,methodology,type,size,sustaincert_id
5744,2026-08-12T05:08:03Z,2026-09-10T11:13:48Z,Clean and Efficient Energy Programme of Activities in the Philippines – Improved Cookstove Distribution (VPA2),LISTED,Gold Standard for the Global Goals,50000,2026-10-01,2032-10-02,,Energy Efficiency - Domestic,Small Scale,23784
5743,2026-08-12T05:05:46Z,2026-09-10T11:13:30Z,Clean and Efficient Energy Programme of Activities in the Philippines – Solar Lamp Distribution (VPA1),LISTED,Gold Standard for the Global Goals,50000,2025-10-01,2031-09-30,,Energy Efficiency - Domestic,Small Scale,23783
5742,2026-08-12T05:03:13Z,2026-09-10T11:13:10Z,Clean and Efficient Energy Programme of Activities in the Philippines,LISTED,Gold Standard for the Global Goals,50000,2025-10-01,2031-09-30,,Energy Efficiency - Domestic,Small Scale,23782
5734,2026-08-05T10:46:10Z,2026-09-17T20:12:26Z,GS23596-VPA 3 Wonder Stoves Institutional Cookstoves Programme-Senegal,LISTED,Gold Standard for the Global Goals,527260,2026-09-30,2031-09-29,,Energy Efficiency - Domestic,Large Scale,23774
5723,2026-08-04T20:31:24Z,2026-09-22T11:07:43Z,GS10789-GS10790 RVPA-108: Efficient and Clean Cooking for households in Malawi,LISTED,Gold Standard for the Global Goals,0,2027-01-02,2032-01-01,,Energy Efficiency - Domestic,Large Scale,23763
5722,2026-08-04T20:28:13Z,2026-09-22T11:07:19Z,GS10789-GS10789-RVPA-107: Efficient and Clean Cooking for households in Malawi,LISTED,Gold Standard for the Global Goals,0,2027-01-02,2032-01-01,,Energy Efficiency - Domestic,Large Scale,23762
5721,2026-08-04T20:22:23Z,2026-09-22T11:06:16Z,GS10789-GS10790-RVPA-104: Efficient and Clean Cooking for households in Malawi,LISTED,Gold Standard for the Global Goals,605423,2027-01-02,2032-01-01,,Energy Efficiency - Domestic,Large Scale,23761
5715,2026-07-28T13:16:12Z,2026-09-01T11:37:41Z,"GS23693-GS23745-RVPA-1 Low Carbon Rice Cultivation in Mandi Bahauddin, Punjab, Pakistan",LISTED,Gold Standard for the Global Goals,51473,2026-05-15,2031-05-14,,Other,Small Scale,23755
5700,2026-07-22T09:02:54Z,2026-09-01T11:36:35Z,"GS23693-VPA-1 Low Carbon Rice Cultivation in Narowal, Punjab, Pakistan",LISTED,Gold Standard for the Global Goals,51473,2026-05-15,2031-05-14,,Other,Small Scale,23745
5698,2026-07-21T04:49:50Z,2026-08-25T06:03:36Z,Community Water Supply through Gravity Driven Membrane Filtration (GDM) Kiosks in Uganda,LISTED,Gold Standard for the Global Goals,10424,2026-11-01,2031-10-31,,Energy Efficiency - Domestic,Small Scale,23743
